kind,id,detail
durability_fixed_count,,62
added_vanilla,nether_brick,
added_vanilla,red_nether_brick,
added_vanilla,nether_brick_fence,
added_vanilla,nether_brick_stairs,
added_vanilla,nether_brick_slab,
added_vanilla,nether_brick_wall,
added_vanilla,red_nether_brick_stairs,
added_vanilla,red_nether_brick_slab,
added_vanilla,red_nether_brick_wall,
added_vanilla,chiseled_nether_bricks,
added_vanilla,cracked_nether_bricks,
added_vanilla,polished_basalt,
added_vanilla,smooth_basalt,
added_vanilla,polished_blackstone,
added_vanilla,polished_blackstone_bricks,
added_vanilla,cracked_polished_blackstone_bricks,
added_vanilla,chiseled_polished_blackstone,
added_vanilla,polished_blackstone_stairs,
added_vanilla,polished_blackstone_slab,
added_vanilla,polished_blackstone_brick_stairs,
added_vanilla,polished_blackstone_brick_slab,
added_vanilla,polished_blackstone_brick_wall,
added_vanilla,blackstone_stairs,
added_vanilla,blackstone_slab,
added_vanilla,blackstone_wall,
added_vanilla,gilded_blackstone,
added_vanilla,crimson_nylium,
added_vanilla,warped_nylium,
added_vanilla,crimson_stem,
added_vanilla,warped_stem,
added_vanilla,stripped_crimson_stem,
added_vanilla,stripped_warped_stem,
added_vanilla,crimson_hyphae,
added_vanilla,warped_hyphae,
added_vanilla,crying_obsidian,
added_vanilla,magma_block,
added_vanilla,end_stone_bricks,
added_vanilla,end_stone_brick_stairs,
added_vanilla,purpur_pillar,
added_vanilla,purpur_stairs,
added_vanilla,purpur_slab,
